Painkiller,0.1,12/31/2022,Pain relief
Bandage,0.2,12/31/2022,Wound care
Antibiotics,0.3,12/31/2022,Infection treatment
Painkiller,0.1,12/31/2022,Pain relief
Bandage,0.2,12/31/2022,Wound care
Antibiotics,0.3,12/31/2022,Infection treatment
Painkiller,0.1,12/31/2022,Pain relief
Bandage,0.2,12/31/2022,Wound care
Antibiotics,0.3,12/31/2022,Infection treatment
Painkiller,0.1,12/31/2022,Pain relief
Bandage,0.2,12/31/2022,Wound care
Antibiotics,0.3,12/31/2022,Infection treatment
Painkiller,0.1,12/31/2022,Pain relief
Bandage,0.2,12/31/2022,Wound care
Antibiotics,0.3,12/31/2022,Infection treatment
Painkiller,0.1,12/31/2022,Pain relief
Bandage,0.2,12/31/2022,Wound care
Antibiotics,0.3,12/31/2022,Infection treatment
